prob_threshold,pixel_threshold,TP,FP,FN,TN,sensitivity,PPV,specificity,F1
0.85,100,55,42,0,102,1,0.567,0.7083,0.7237
0.4,2000,55,44,0,100,1,0.5556,0.6944,0.7143
0.3,2500,55,45,0,99,1,0.55,0.6875,0.7097
0.35,2250,55,45,0,99,1,0.55,0.6875,0.7097
0.8,250,55,45,0,99,1,0.55,0.6875,0.7097
0.45,1750,55,46,0,98,1,0.5446,0.6806,0.7051
0.55,1250,55,47,0,97,1,0.5392,0.6736,0.7006
0.6,1000,55,49,0,95,1,0.5288,0.6597,0.6918
0.5,1500,55,51,0,93,1,0.5189,0.6458,0.6832
0.65,750,55,51,0,93,1,0.5189,0.6458,0.6832
0.7,500,55,51,0,93,1,0.5189,0.6458,0.6832
0.4,1750,55,54,0,90,1,0.5046,0.625,0.6707
0.35,2000,55,55,0,89,1,0.5,0.6181,0.6667
0.45,1500,55,55,0,89,1,0.5,0.6181,0.6667
0.3,2250,55,56,0,88,1,0.4955,0.6111,0.6627
0.75,250,55,56,0,88,1,0.4955,0.6111,0.6627
0.55,1000,55,58,0,86,1,0.4867,0.5972,0.6548
0.5,1250,55,60,0,84,1,0.4783,0.5833,0.6471
0.35,1750,55,61,0,83,1,0.4741,0.5764,0.6433
0.4,1500,55,61,0,83,1,0.4741,0.5764,0.6433
0.3,2000,55,62,0,82,1,0.4701,0.5694,0.6395
0.6,750,55,62,0,82,1,0.4701,0.5694,0.6395
0.8,100,55,62,0,82,1,0.4701,0.5694,0.6395
0.45,1250,55,63,0,81,1,0.4661,0.5625,0.6358
0.65,500,55,66,0,78,1,0.4545,0.5417,0.625
0.3,1750,55,72,0,72,1,0.4331,0.5,0.6044
0.35,1500,55,72,0,72,1,0.4331,0.5,0.6044
0.5,1000,55,72,0,72,1,0.4331,0.5,0.6044
0.55,750,55,72,0,72,1,0.4331,0.5,0.6044
0.6,500,55,73,0,71,1,0.4297,0.4931,0.6011
0.4,1250,55,74,0,70,1,0.4264,0.4861,0.5978
0.7,250,55,74,0,70,1,0.4264,0.4861,0.5978
0.45,1000,55,76,0,68,1,0.4198,0.4722,0.5914
0.3,1500,55,78,0,66,1,0.4135,0.4583,0.5851
0.35,1250,55,79,0,65,1,0.4104,0.4514,0.582
0.4,1000,55,79,0,65,1,0.4104,0.4514,0.582
0.45,750,55,80,0,64,1,0.4074,0.4444,0.5789
0.55,500,55,80,0,64,1,0.4074,0.4444,0.5789
0.5,750,55,82,0,62,1,0.4015,0.4306,0.5729
0.75,100,55,82,0,62,1,0.4015,0.4306,0.5729
0.65,250,55,83,0,61,1,0.3986,0.4236,0.5699
0.3,1250,55,85,0,59,1,0.3929,0.4097,0.5641
0.35,1000,55,85,0,59,1,0.3929,0.4097,0.5641
0.4,750,55,87,0,57,1,0.3873,0.3958,0.5584
0.6,250,55,89,0,55,1,0.3819,0.3819,0.5528
0.3,1000,55,91,0,53,1,0.3767,0.3681,0.5473
0.45,500,55,91,0,53,1,0.3767,0.3681,0.5473
0.5,500,55,91,0,53,1,0.3767,0.3681,0.5473
0.7,100,55,91,0,53,1,0.3767,0.3681,0.5473
0.35,750,55,92,0,52,1,0.3741,0.3611,0.5446
0.3,750,55,95,0,49,1,0.3667,0.3403,0.5366
0.55,250,55,97,0,47,1,0.3618,0.3264,0.5314
0.65,100,55,97,0,47,1,0.3618,0.3264,0.5314
0.4,500,55,98,0,46,1,0.3595,0.3194,0.5288
0.35,500,55,102,0,42,1,0.3503,0.2917,0.5189
0.6,100,55,102,0,42,1,0.3503,0.2917,0.5189
0.3,500,55,104,0,40,1,0.3459,0.2778,0.514
0.45,250,55,104,0,40,1,0.3459,0.2778,0.514
0.5,250,55,105,0,39,1,0.3438,0.2708,0.5116
0.4,250,55,106,0,38,1,0.3416,0.2639,0.5093
0.55,100,55,108,0,36,1,0.3374,0.25,0.5046
0.35,250,55,109,0,35,1,0.3354,0.2431,0.5023
0.3,250,55,111,0,33,1,0.3313,0.2292,0.4977
0.45,100,55,111,0,33,1,0.3313,0.2292,0.4977
0.35,100,55,112,0,32,1,0.3293,0.2222,0.4955
0.4,100,55,112,0,32,1,0.3293,0.2222,0.4955
0.5,100,55,112,0,32,1,0.3293,0.2222,0.4955
0.3,100,55,115,0,29,1,0.3235,0.2014,0.4889
0.8,500,54,25,1,119,0.9818,0.6835,0.8264,0.806
0.7,1000,54,26,1,118,0.9818,0.675,0.8194,0.8
0.75,750,54,27,1,117,0.9818,0.6667,0.8125,0.7941
0.85,250,54,27,1,117,0.9818,0.6667,0.8125,0.7941
0.55,1750,54,29,1,115,0.9818,0.6506,0.7986,0.7826
0.6,1500,54,29,1,115,0.9818,0.6506,0.7986,0.7826
0.65,1250,54,29,1,115,0.9818,0.6506,0.7986,0.7826
0.3,3000,54,31,1,113,0.9818,0.6353,0.7847,0.7714
0.5,2000,54,33,1,111,0.9818,0.6207,0.7708,0.7606
0.35,2500,54,36,1,108,0.9818,0.6,0.75,0.7448
0.4,2250,54,36,1,108,0.9818,0.6,0.75,0.7448
0.45,2000,54,36,1,108,0.9818,0.6,0.75,0.7448
0.55,1500,54,37,1,107,0.9818,0.5934,0.7431,0.7397
0.3,2750,54,39,1,105,0.9818,0.5806,0.7292,0.7297
0.6,1250,54,39,1,105,0.9818,0.5806,0.7292,0.7297
0.7,750,54,39,1,105,0.9818,0.5806,0.7292,0.7297
0.65,1000,54,40,1,104,0.9818,0.5745,0.7222,0.7248
0.75,500,54,42,1,102,0.9818,0.5625,0.7083,0.7152
0.5,1750,54,43,1,101,0.9818,0.5567,0.7014,0.7105
0.65,1750,53,15,2,129,0.9636,0.7794,0.8958,0.8618
0.8,750,53,15,2,129,0.9636,0.7794,0.8958,0.8618
0.5,2750,53,17,2,127,0.9636,0.7571,0.8819,0.848
0.55,2250,53,18,2,126,0.9636,0.7465,0.875,0.8413
0.6,2000,53,18,2,126,0.9636,0.7465,0.875,0.8413
0.75,1000,53,19,2,125,0.9636,0.7361,0.8681,0.8346
0.4,3000,53,20,2,124,0.9636,0.726,0.8611,0.8281
0.45,2750,53,20,2,124,0.9636,0.726,0.8611,0.8281
0.7,1250,53,20,2,124,0.9636,0.726,0.8611,0.8281
0.6,1750,53,21,2,123,0.9636,0.7162,0.8542,0.8217
0.65,1500,53,21,2,123,0.9636,0.7162,0.8542,0.8217
0.5,2500,53,22,2,122,0.9636,0.7067,0.8472,0.8154
0.55,2000,53,22,2,122,0.9636,0.7067,0.8472,0.8154
0.45,2500,53,24,2,120,0.9636,0.6883,0.8333,0.803
0.4,2750,53,25,2,119,0.9636,0.6795,0.8264,0.797
0.3,3250,53,26,2,118,0.9636,0.6709,0.8194,0.791
0.35,3000,53,26,2,118,0.9636,0.6709,0.8194,0.791
0.5,2250,53,26,2,118,0.9636,0.6709,0.8194,0.791
0.4,2500,53,28,2,116,0.9636,0.6543,0.8056,0.7794
0.45,2250,53,28,2,116,0.9636,0.6543,0.8056,0.7794
0.9,100,53,28,2,116,0.9636,0.6543,0.8056,0.7794
0.35,2750,53,29,2,115,0.9636,0.6463,0.7986,0.7737
0.6,2250,52,12,3,132,0.9455,0.8125,0.9167,0.8739
0.65,2000,52,12,3,132,0.9455,0.8125,0.9167,0.8739
0.7,1500,52,13,3,131,0.9455,0.8,0.9097,0.8667
0.35,3250,52,21,3,123,0.9455,0.7123,0.8542,0.8125
0.3,3500,52,22,3,122,0.9455,0.7027,0.8472,0.8062
0.75,1250,51,12,4,132,0.9273,0.8095,0.9167,0.8644
0.55,2500,51,13,4,131,0.9273,0.7969,0.9097,0.8571
0.3,4000,51,15,4,129,0.9273,0.7727,0.8958,0.843
0.45,3000,51,15,4,129,0.9273,0.7727,0.8958,0.843
0.5,3000,51,15,4,129,0.9273,0.7727,0.8958,0.843
0.35,3500,51,17,4,127,0.9273,0.75,0.8819,0.8293
0.4,3250,51,17,4,127,0.9273,0.75,0.8819,0.8293
0.3,3750,51,20,4,124,0.9273,0.7183,0.8611,0.8095
0.55,2750,50,12,5,132,0.9091,0.8065,0.9167,0.8547
0.45,3250,50,13,5,131,0.9091,0.7937,0.9097,0.8475
0.35,3750,50,14,5,130,0.9091,0.7812,0.9028,0.8403
0.4,3500,50,14,5,130,0.9091,0.7812,0.9028,0.8403
0.45,3500,49,9,6,135,0.8909,0.8448,0.9375,0.8673
0.4,3750,49,10,6,134,0.8909,0.8305,0.9306,0.8596
0.35,4000,49,11,6,133,0.8909,0.8167,0.9236,0.8522
0.5,3250,49,12,6,132,0.8909,0.8033,0.9167,0.8448
0.85,500,49,15,6,129,0.8909,0.7656,0.8958,0.8235
0.4,4000,48,9,7,135,0.8727,0.8421,0.9375,0.8571
0.5,3500,48,10,7,134,0.8727,0.8276,0.9306,0.8496
0.6,2500,48,11,7,133,0.8727,0.8136,0.9236,0.8421
0.9,250,48,13,7,131,0.8727,0.7869,0.9097,0.8276
0.45,3750,47,8,8,136,0.8545,0.8545,0.9444,0.8545
0.5,3750,47,9,8,135,0.8545,0.8393,0.9375,0.8468
0.7,1750,47,10,8,134,0.8545,0.8246,0.9306,0.8393
0.55,3000,46,7,9,137,0.8364,0.8679,0.9514,0.8519
0.6,2750,46,7,9,137,0.8364,0.8679,0.9514,0.8519
0.65,2250,46,9,9,135,0.8364,0.8364,0.9375,0.8364
0.75,1500,46,9,9,135,0.8364,0.8364,0.9375,0.8364
0.8,1000,46,12,9,132,0.8364,0.7931,0.9167,0.8142
0.7,2000,45,8,10,136,0.8182,0.8491,0.9444,0.8333
0.55,3500,44,5,11,139,0.8,0.898,0.9653,0.8462
0.65,2750,44,5,11,139,0.8,0.898,0.9653,0.8462
0.7,2250,44,5,11,139,0.8,0.898,0.9653,0.8462
0.75,1750,44,5,11,139,0.8,0.898,0.9653,0.8462
0.6,3000,44,6,11,138,0.8,0.88,0.9583,0.8381
0.65,2500,44,6,11,138,0.8,0.88,0.9583,0.8381
0.45,4000,44,7,11,137,0.8,0.8627,0.9514,0.8302
0.55,3250,44,7,11,137,0.8,0.8627,0.9514,0.8302
0.5,4000,44,8,11,136,0.8,0.8462,0.9444,0.8224
0.6,3250,43,5,12,139,0.7818,0.8958,0.9653,0.835
0.8,1250,43,7,12,137,0.7818,0.86,0.9514,0.819
0.55,3750,42,3,13,141,0.7636,0.9333,0.9792,0.84
0.75,2000,42,3,13,141,0.7636,0.9333,0.9792,0.84
0.65,3000,42,4,13,140,0.7636,0.913,0.9722,0.8317
0.7,2500,42,4,13,140,0.7636,0.913,0.9722,0.8317
0.85,750,42,7,13,137,0.7636,0.8571,0.9514,0.8077
0.6,3500,39,3,16,141,0.7091,0.9286,0.9792,0.8041
0.8,1500,39,3,16,141,0.7091,0.9286,0.9792,0.8041
0.85,1000,38,2,17,142,0.6909,0.95,0.9861,0.8
0.55,4000,38,3,17,141,0.6909,0.9268,0.9792,0.7917
0.9,500,37,4,18,140,0.6727,0.9024,0.9722,0.7708
0.6,3750,36,3,19,141,0.6545,0.9231,0.9792,0.766
0.65,3250,35,3,20,141,0.6364,0.9211,0.9792,0.7527
0.7,2750,35,3,20,141,0.6364,0.9211,0.9792,0.7527
0.75,2250,35,3,20,141,0.6364,0.9211,0.9792,0.7527
0.8,1750,34,2,21,142,0.6182,0.9444,0.9861,0.7473
0.7,3000,33,3,22,141,0.6,0.9167,0.9792,0.7253
0.95,100,33,5,22,139,0.6,0.8684,0.9653,0.7097
0.75,2500,32,2,23,142,0.5818,0.9412,0.9861,0.7191
0.85,1250,32,2,23,142,0.5818,0.9412,0.9861,0.7191
0.65,3500,31,3,24,141,0.5636,0.9118,0.9792,0.6966
0.6,4000,29,3,26,141,0.5273,0.9062,0.9792,0.6667
0.65,3750,28,3,27,141,0.5091,0.9032,0.9792,0.6512
0.9,750,27,1,28,143,0.4909,0.9643,0.9931,0.6506
0.8,2000,27,2,28,142,0.4909,0.931,0.9861,0.6429
0.7,3250,26,2,29,142,0.4727,0.9286,0.9861,0.6265
0.7,3500,25,2,30,142,0.4545,0.9259,0.9861,0.6098
0.85,1500,24,1,31,143,0.4364,0.96,0.9931,0.6
0.65,4000,24,2,31,142,0.4364,0.9231,0.9861,0.5926
0.75,2750,24,2,31,142,0.4364,0.9231,0.9861,0.5926
0.8,2250,24,2,31,142,0.4364,0.9231,0.9861,0.5926
0.95,250,23,1,32,143,0.4182,0.9583,0.9931,0.5823
0.75,3000,23,2,32,142,0.4182,0.92,0.9861,0.575
0.8,2500,21,1,34,143,0.3818,0.9545,0.9931,0.5455
0.85,1750,21,1,34,143,0.3818,0.9545,0.9931,0.5455
0.7,3750,21,2,34,142,0.3818,0.913,0.9861,0.5385
0.9,1000,19,1,36,143,0.3455,0.95,0.9931,0.5067
0.75,3250,19,2,36,142,0.3455,0.9048,0.9861,0.5
0.8,2750,18,1,37,143,0.3273,0.9474,0.9931,0.4865
0.85,2000,17,1,38,143,0.3091,0.9444,0.9931,0.4658
0.7,4000,16,2,39,142,0.2909,0.8889,0.9861,0.4384
0.95,500,15,0,40,144,0.2727,1,1,0.4286
0.75,3500,15,1,40,143,0.2727,0.9375,0.9931,0.4225
0.75,3750,15,1,40,143,0.2727,0.9375,0.9931,0.4225
0.8,3000,14,1,41,143,0.2545,0.9333,0.9931,0.4
0.9,1250,14,1,41,143,0.2545,0.9333,0.9931,0.4
0.85,2250,12,1,43,143,0.2182,0.9231,0.9931,0.3529
0.85,2500,11,0,44,144,0.2,1,1,0.3333
0.8,3250,11,1,44,143,0.2,0.9167,0.9931,0.3284
0.9,1500,11,1,44,143,0.2,0.9167,0.9931,0.3284
0.75,4000,10,1,45,143,0.1818,0.9091,0.9931,0.303
0.8,3750,8,0,47,144,0.1455,1,1,0.254
0.9,1750,8,0,47,144,0.1455,1,1,0.254
0.95,750,8,0,47,144,0.1455,1,1,0.254
0.8,3500,8,1,47,143,0.1455,0.8889,0.9931,0.25
0.85,2750,6,0,49,144,0.1091,1,1,0.1967
0.8,4000,5,0,50,144,0.0909,1,1,0.1667
0.85,3000,5,0,50,144,0.0909,1,1,0.1667
0.95,1000,5,0,50,144,0.0909,1,1,0.1667
0.9,2000,4,0,51,144,0.0727,1,1,0.1356
0.85,3250,3,0,52,144,0.0545,1,1,0.1034
0.85,3500,3,0,52,144,0.0545,1,1,0.1034
0.9,2250,2,0,53,144,0.0364,1,1,0.0702
0.95,1250,2,0,53,144,0.0364,1,1,0.0702
0.85,3750,1,0,54,144,0.0182,1,1,0.0357
0.85,4000,1,0,54,144,0.0182,1,1,0.0357
0.9,2500,1,0,54,144,0.0182,1,1,0.0357
0.9,2750,1,0,54,144,0.0182,1,1,0.0357
0.9,3000,1,0,54,144,0.0182,1,1,0.0357
0.9,3250,1,0,54,144,0.0182,1,1,0.0357
0.95,1500,1,0,54,144,0.0182,1,1,0.0357
0.95,1750,1,0,54,144,0.0182,1,1,0.0357
0.9,3500,0,0,55,144,0,0,1,0
0.9,3750,0,0,55,144,0,0,1,0
0.9,4000,0,0,55,144,0,0,1,0
0.95,2000,0,0,55,144,0,0,1,0
0.95,2250,0,0,55,144,0,0,1,0
0.95,2500,0,0,55,144,0,0,1,0
0.95,2750,0,0,55,144,0,0,1,0
0.95,3000,0,0,55,144,0,0,1,0
0.95,3250,0,0,55,144,0,0,1,0
0.95,3500,0,0,55,144,0,0,1,0
0.95,3750,0,0,55,144,0,0,1,0
0.95,4000,0,0,55,144,0,0,1,0
