date,lottery_number
2025-02-01,51
2025-01-17,23
2025-01-02,51
2024-12-16,21
2024-12-01,61
2024-11-16,38
2024-11-01,32
2024-10-16,0
2024-10-01,59
2024-09-16,37
2024-09-01,94
2024-08-16,28
2024-08-01,46
2024-07-16,21
2024-07-01,89
2024-06-16,31
2024-06-01,42
2024-05-16,60
2024-05-02,17
2024-04-16,79
2024-04-01,90
2024-03-16,78
2024-03-01,79
2024-02-16,43
2024-02-01,9
2024-01-17,61
2023-12-30,89
2023-12-16,85
2023-12-01,91
2023-11-16,14
2023-11-01,63
2023-10-16,44
2023-10-01,66
2023-09-16,46
2023-09-01,91
2023-08-16,67
2023-07-31,11
2023-07-16,62
2023-07-01,16
2023-06-16,30
2023-06-01,9
2023-05-15,99
2023-05-02,65
2023-04-16,71
2023-04-01,99
2023-03-16,73
2023-03-01,55
2023-02-16,80
2023-02-01,92
2023-01-17,47
2022-12-30,58
2022-12-16,14
2022-12-01,8
2022-11-16,64
2022-11-01,70
2022-10-16,15
2022-10-01,50
2022-09-16,75
2022-09-01,83
2022-08-16,42
2022-08-01,14
2022-07-16,53
2022-07-01,61
2022-06-16,92
2022-06-01,2
2022-05-16,6
2022-05-02,9
2022-04-16,58
2022-04-01,10
2022-03-16,3
2022-03-01,7
2022-02-17,57
2022-02-01,30
2022-01-17,92
2021-12-30,36
2021-12-16,83
2021-12-01,82
2021-11-16,57
2021-11-01,95
2021-10-16,38
2021-10-01,83
2021-09-16,90
2021-09-01,79
2021-08-16,23
2021-08-01,69
2021-07-16,70
2021-07-01,29
2021-06-16,17
2021-06-01,45
2021-05-16,14
2021-05-02,18
2021-04-16,56
2021-04-01,5
2021-03-16,19
2021-03-01,73
2021-02-16,39
2021-02-01,97
2021-01-17,15
2020-12-30,19
2020-12-16,70
2020-12-01,84
2020-11-16,46
2020-11-01,40
2020-10-16,38
