Model,MAE,RMSE,MSE,R2,Predicted Number,,,,
Model1,37.16249084,45.58933484,2078.387451,-1.507363081,14,,,,
Model2,38.80438232,45.12107059,2035.911011,-1.409363747,12,,,,
Model3,0.269755185,0.306914284,0.094196378,-0.092567094,27,,,,
Model4,0.261043663,0.299328586,0.089597603,-0.039226714,75,,,,
Model5,0.241679011,0.277212973,0.076847032,0.108664891,99,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,Model,MAE,Predicted Number,,,,,
,,Model1,37.16249084,14,,,,,
,,Model2,38.80438232,12,,,,,
,,Model3,0.269755185,27,,,,,
,,Model4,0.261043663,75,,,,,
,,Model5,0.241679011,99,,,,,
,,,,,,,,,
,,,Last 100,Last 10yrs,More rigorous training,with PM,with Jupiter Transit,,
,,Model,Model1,Model2,Model3,Model4,Model5,Lotto Results,
,,MAE,37.16,38.80,0.27,0.26,0.24,,
,,Predicted Number,14,12,27,75,99,21,16-Dec-24
